Mod:Item:MetaData, Localized Name
nuclearcraft:record_money_for_nothing, Music Disc
nuclearcraft:record_hyperspace, Music Disc
nuclearcraft:sword_boron, Boron Sword
nuclearcraft:pickaxe_boron, Boron Pickaxe
nuclearcraft:shovel_boron, Boron Shovel
nuclearcraft:axe_boron, Boron Axe
nuclearcraft:hoe_boron, Boron Hoe
nuclearcraft:spaxelhoe_boron, Boron Spaxelhoe
nuclearcraft:sword_tough, Tough Alloy Sword
nuclearcraft:pickaxe_tough, Tough Alloy Pickaxe
nuclearcraft:shovel_tough, Tough Alloy Shovel
nuclearcraft:axe_tough, Tough Alloy Axe
nuclearcraft:hoe_tough, Tough Alloy Hoe
nuclearcraft:spaxelhoe_tough, Tough Alloy Spaxelhoe
nuclearcraft:sword_hard_carbon, Hard Carbon Sword
nuclearcraft:pickaxe_hard_carbon, Hard Carbon Pickaxe
nuclearcraft:shovel_hard_carbon, Hard Carbon Shovel
nuclearcraft:axe_hard_carbon, Hard Carbon Axe
nuclearcraft:hoe_hard_carbon, Hard Carbon Hoe
nuclearcraft:spaxelhoe_hard_carbon, Hard Carbon Spaxelhoe
nuclearcraft:sword_boron_nitride, Boron Nitride Sword
nuclearcraft:pickaxe_boron_nitride, Boron Nitride Pickaxe
nuclearcraft:shovel_boron_nitride, Boron Nitride Shovel
nuclearcraft:axe_boron_nitride, Boron Nitride Axe
nuclearcraft:hoe_boron_nitride, Boron Nitride Hoe
nuclearcraft:spaxelhoe_boron_nitride, Boron Nitride Spaxelhoe
nuclearcraft:helm_boron, Boron Helmet
nuclearcraft:chest_boron, Boron Chestplate
nuclearcraft:legs_boron, Boron Leggings
nuclearcraft:boots_boron, Boron Boots
nuclearcraft:helm_tough, Tough Alloy Helmet
nuclearcraft:chest_tough, Tough Alloy Chestplate
nuclearcraft:legs_tough, Tough Alloy Leggings
nuclearcraft:boots_tough, Tough Alloy Boots
nuclearcraft:helm_hard_carbon, Hard Carbon Helmet
nuclearcraft:chest_hard_carbon, Hard Carbon Chestplate
nuclearcraft:legs_hard_carbon, Hard Carbon Leggings
nuclearcraft:boots_hard_carbon, Hard Carbon Boots
nuclearcraft:helm_boron_nitride, Boron Nitride Helmet
nuclearcraft:chest_boron_nitride, Boron Nitride Chestplate
nuclearcraft:legs_boron_nitride, Boron Nitride Leggings
nuclearcraft:boots_boron_nitride, Boron Nitride Boots
nuclearcraft:helm_hazmat, Hazmat Suit Headwear
nuclearcraft:chest_hazmat, Hazmat Suit Chestpiece
nuclearcraft:legs_hazmat, Hazmat Suit Leggings
nuclearcraft:boots_hazmat, Hazmat Suit Boots
nuclearcraft:fluid_oxygen, Oxygen
nuclearcraft:fluid_hydrogen, Hydrogen
nuclearcraft:fluid_deuterium, Deuterium
nuclearcraft:fluid_tritium, Tritium
nuclearcraft:fluid_helium3, Helium-3
nuclearcraft:fluid_helium, Helium
nuclearcraft:fluid_boron, Molten Boron
nuclearcraft:fluid_boron10, Molten Boron-10
nuclearcraft:fluid_boron11, Molten Boron-11
nuclearcraft:fluid_lithium, Molten Lithium
nuclearcraft:fluid_lithium6, Molten Lithium-6
nuclearcraft:fluid_lithium7, Molten Lithium-7
nuclearcraft:fluid_ferroboron, Molten Ferroboron
nuclearcraft:fluid_tough, Molten Tough Alloy
nuclearcraft:fluid_hard_carbon, Molten Hard Carbon
nuclearcraft:fluid_coal, Liquefacted Coal
nuclearcraft:fluid_beryllium, Molten Beryllium
nuclearcraft:fluid_sulfur, Molten Sulfur
nuclearcraft:fluid_arsenic, Molten Arsenic
nuclearcraft:fluid_liquidhelium, Liquid Helium
nuclearcraft:fluid_plasma, Plasma
nuclearcraft:fluid_neutron, Neutron Fluid
nuclearcraft:fluid_ethanol, Ethanol
nuclearcraft:fluid_methanol, Methanol
nuclearcraft:fluid_radaway, RadAway Fluid
nuclearcraft:fluid_nitrogen, Nitrogen
nuclearcraft:fluid_fluorine, Fluorine
nuclearcraft:fluid_carbon_dioxide, Carbon Dioxide
nuclearcraft:fluid_carbon_monoxide, Carbon Monoxide
nuclearcraft:fluid_ethene, Ethylene
nuclearcraft:fluid_fluoromethane, Fluoromethane
nuclearcraft:fluid_ammonia, Ammonia
nuclearcraft:fluid_oxygen_difluoride, Oxygen Difluoride
nuclearcraft:fluid_diborane, Diborane
nuclearcraft:fluid_sulfur_dioxide, Sulfur Dioxide
nuclearcraft:fluid_sulfur_trioxide, Sulfur Trioxide
nuclearcraft:fluid_hydrofluoric_acid, Hydrofluoric Acid
nuclearcraft:fluid_boric_acid, Boric Acid
nuclearcraft:fluid_sulfuric_acid, Sulfuric Acid
nuclearcraft:fluid_boron_nitride_solution, Boron Nitride Solution
nuclearcraft:fluid_fluorite_water, Fluorite Water
nuclearcraft:fluid_calcium_sulfate_solution, Calcium Sulfate Solution
nuclearcraft:fluid_sodium_fluoride_solution, Sodium Fluoride Solution
nuclearcraft:fluid_potassium_fluoride_solution, Potassium Fluoride Solution
nuclearcraft:fluid_sodium_hydroxide_solution, Sodium Hydroxide Solution
nuclearcraft:fluid_potassium_hydroxide_solution, Potassium Hydroxide Solution
nuclearcraft:fluid_borax_solution, Borax Solution
nuclearcraft:fluid_corium, Corium
nuclearcraft:fluid_chocolate_liquor, Chocolate Liquor
nuclearcraft:fluid_cocoa_butter, Cocoa Butter
nuclearcraft:fluid_unsweetened_chocolate, Molten Unsweetened Chocolate
nuclearcraft:fluid_dark_chocolate, Molten Dark Chocolate
nuclearcraft:fluid_milk_chocolate, Molten Milk Chocolate
nuclearcraft:fluid_sugar, Molten Sugar
nuclearcraft:fluid_gelatin, Molten Gelatin
nuclearcraft:fluid_hydrated_gelatin, Hydrated Gelatin
nuclearcraft:fluid_marshmallow, Liquid Marshmallow
nuclearcraft:fluid_milk, Milk
nuclearcraft:fluid_lif, Molten Lithium Fluoride
nuclearcraft:fluid_bef2, Molten Beryllium Fluoride
nuclearcraft:fluid_flibe, Molten FLiBe Salt Mixture
nuclearcraft:fluid_naoh, Molten Sodium Hydroxide
nuclearcraft:fluid_koh, Molten Potassium Hydroxide
nuclearcraft:fluid_steam, Steam
nuclearcraft:fluid_high_pressure_steam, High Pressure Steam
nuclearcraft:fluid_exhaust_steam, Exhaust Steam
nuclearcraft:fluid_low_pressure_steam, Low Pressure Steam
nuclearcraft:fluid_low_quality_steam, Low Quality Steam
nuclearcraft:fluid_preheated_water, Preheated Water
nuclearcraft:fluid_condensate_water, Condensate Water
nuclearcraft:fluid_sodium, Molten Sodium
nuclearcraft:fluid_potassium, Molten Potassium
nuclearcraft:fluid_nak, Eutectic NaK Alloy
nuclearcraft:fluid_nak_hot, Hot Eutectic NaK Alloy
nuclearcraft:fluid_bas, Molten Boron Arsenide
openblocks:ladder, Jaded Ladder
openblocks:guide, Building Guide
openblocks:builder_guide, Enhanced Building Guide
openblocks:elevator:0, Elevator
openblocks:elevator:1, Elevator
openblocks:elevator:2, Elevator
openblocks:elevator:3, Elevator
openblocks:elevator:4, Elevator
openblocks:elevator:5, Elevator
openblocks:elevator:6, Elevator
openblocks:elevator:7, Elevator
openblocks:elevator:8, Elevator
openblocks:elevator:9, Elevator
openblocks:elevator:10, Elevator
openblocks:elevator:11, Elevator
openblocks:elevator:12, Elevator
openblocks:elevator:13, Elevator
openblocks:elevator:14, Elevator
openblocks:elevator:15, Elevator
openblocks:elevator_rotating:0, Rotating Elevator
openblocks:elevator_rotating:1, Rotating Elevator
openblocks:elevator_rotating:2, Rotating Elevator
openblocks:elevator_rotating:3, Rotating Elevator
openblocks:elevator_rotating:4, Rotating Elevator
openblocks:elevator_rotating:5, Rotating Elevator
openblocks:elevator_rotating:6, Rotating Elevator
openblocks:elevator_rotating:7, Rotating Elevator
openblocks:elevator_rotating:8, Rotating Elevator
openblocks:elevator_rotating:9, Rotating Elevator
openblocks:elevator_rotating:10, Rotating Elevator
openblocks:elevator_rotating:11, Rotating Elevator
openblocks:elevator_rotating:12, Rotating Elevator
openblocks:elevator_rotating:13, Rotating Elevator
openblocks:elevator_rotating:14, Rotating Elevator
openblocks:elevator_rotating:15, Rotating Elevator
openblocks:heal, Healer
openblocks:target, Target
openblocks:grave, Grave
openblocks:flag:5, Flag
openblocks:tank, Tank
openblocks:trophy, Trophy
openblocks:beartrap, Bear Trap
openblocks:sprinkler, Sprinkler
openblocks:cannon, Item Cannon
openblocks:vacuum_hopper, Vacuum Hopper
openblocks:sponge, Sponge
openblocks:big_button, Stone Big Button
openblocks:big_button_wood, Wooden Big Button
openblocks:imaginary:0, Magic Pencil
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:fan, Fan
openblocks:xp_bottler, XP Bottler
openblocks:village_highlighter, Village Highlighter
openblocks:path, Path
openblocks:auto_anvil, Auto Anvil
openblocks:auto_enchantment_table, Auto Enchantment Table
openblocks:xp_drain, XP Drain
openblocks:block_breaker, Block Breaker
openblocks:block_placer, Block Placer
openblocks:item_dropper, Item Dropper
openblocks:rope_ladder, Rope Ladder
openblocks:donation_station, Donation Station
openblocks:paint_mixer, Paint Mixer
openblocks:canvas, Canvas
openblocks:paint_can, Paint Can
openblocks:canvas_glass, Canvas
openblocks:projector, Height Map Projector
openblocks:drawing_table, Drawing Table
openblocks:sky:0, Sky Block
openblocks:sky:1, Sky Block
openblocks:xp_shower, XP Shower
openblocks:golden_egg, Golden Egg
openblocks:scaffolding, Scaffolding
openblocks:hang_glider, Hang Glider
openblocks:generic:0, Glider Wing
openblocks:generic:1, Beam
openblocks:generic:2, Crane Engine
openblocks:generic:3, Crane Magnet
openblocks:generic:5, Line
openblocks:generic:6, Map Controller Module
openblocks:generic:7, Map Memory Module
openblocks:generic:9, Assistant's base
openblocks:generic:10, Unprepared Stencil
openblocks:generic:11, Sketching Pencil
openblocks:luggage, Luggage
openblocks:sonic_glasses, Sonic Glasses
openblocks:pencil_glasses:0, Pencil Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:technicolor_glasses:0, Amazing Technicolor Glasses
openblocks:serious_glasses:0, Badass Glasses
openblocks:crane_control, Crane Control
openblocks:crane_backpack, Crane Backpack
openblocks:slimalyzer, Slimalyzer
openblocks:xp_bucket, XP Bucket
openblocks:sleeping_bag, Sleeping Bag
openblocks:paintbrush, Paint Brush
openblocks:stencil:0, Stencil
openblocks:stencil:1, Stencil
openblocks:stencil:2, Stencil
openblocks:stencil:3, Stencil
openblocks:stencil:4, Stencil
openblocks:stencil:5, Stencil
openblocks:stencil:6, Stencil
openblocks:stencil:7, Stencil
openblocks:stencil:8, Stencil
openblocks:stencil:9, Stencil
openblocks:stencil:10, Stencil
openblocks:stencil:11, Stencil
openblocks:stencil:12, Stencil
openblocks:stencil:13, Stencil
openblocks:stencil:14, Stencil
openblocks:squeegee, Squeegee
openblocks:empty_map, Empty Map
openblocks:cartographer:0, Cartographer
openblocks:tasty_clay, Tasty Clay
openblocks:golden_eye, Golden eye
openblocks:generic_unstackable:0, Pointer
openblocks:cursor, Cursor
openblocks:info_book, World Domination with OpenBlocks
openblocks:dev_null, /dev/null
openblocks:sponge_on_a_stick, Sponge
openblocks:pedometer, Pedometer
openblocks:epic_eraser, Epic Eraser
openblocks:wrench, Big Metal Bar
openblocks:glyph:32, ' ' Glyph
openblocks:glyph:48, '0' Glyph
openblocks:glyph:49, '1' Glyph
openblocks:glyph:50, '2' Glyph
openblocks:glyph:51, '3' Glyph
openblocks:glyph:52, '4' Glyph
openblocks:glyph:53, '5' Glyph
openblocks:glyph:54, '6' Glyph
openblocks:glyph:55, '7' Glyph
openblocks:glyph:56, '8' Glyph
openblocks:glyph:57, '9' Glyph
openblocks:glyph:65, 'A' Glyph
openblocks:glyph:66, 'B' Glyph
openblocks:glyph:67, 'C' Glyph
openblocks:glyph:68, 'D' Glyph
openblocks:glyph:69, 'E' Glyph
openblocks:glyph:70, 'F' Glyph
openblocks:glyph:71, 'G' Glyph
openblocks:glyph:72, 'H' Glyph
openblocks:glyph:73, 'I' Glyph
openblocks:glyph:74, 'J' Glyph
openblocks:glyph:75, 'K' Glyph
openblocks:glyph:76, 'L' Glyph
openblocks:glyph:77, 'M' Glyph
openblocks:glyph:78, 'N' Glyph
openblocks:glyph:79, 'O' Glyph
openblocks:glyph:80, 'P' Glyph
openblocks:glyph:81, 'Q' Glyph
openblocks:glyph:82, 'R' Glyph
openblocks:glyph:83, 'S' Glyph
openblocks:glyph:84, 'T' Glyph
openblocks:glyph:85, 'U' Glyph
openblocks:glyph:86, 'V' Glyph
openblocks:glyph:87, 'W' Glyph
openblocks:glyph:88, 'X' Glyph
openblocks:glyph:89, 'Y' Glyph
openblocks:glyph:90, 'Z' Glyph
openblocks:glyph:97, 'a' Glyph
openblocks:glyph:98, 'b' Glyph
openblocks:glyph:99, 'c' Glyph
openblocks:glyph:100, 'd' Glyph
openblocks:glyph:101, 'e' Glyph
openblocks:glyph:102, 'f' Glyph
openblocks:glyph:103, 'g' Glyph
openblocks:glyph:104, 'h' Glyph
openblocks:glyph:105, 'i' Glyph
openblocks:glyph:106, 'j' Glyph
openblocks:glyph:107, 'k' Glyph
openblocks:glyph:108, 'l' Glyph
openblocks:glyph:109, 'm' Glyph
openblocks:glyph:110, 'n' Glyph
openblocks:glyph:111, 'o' Glyph
openblocks:glyph:112, 'p' Glyph
openblocks:glyph:113, 'q' Glyph
openblocks:glyph:114, 'r' Glyph
openblocks:glyph:115, 's' Glyph
openblocks:glyph:116, 't' Glyph
openblocks:glyph:117, 'u' Glyph
openblocks:glyph:118, 'v' Glyph
openblocks:glyph:119, 'w' Glyph
openblocks:glyph:120, 'x' Glyph
openblocks:glyph:121, 'y' Glyph
openblocks:glyph:122, 'z' Glyph
redstonearsenal:storage:0, Fluxed Electrum Block
redstonearsenal:storage:1, Flux Crystal Block
redstonearsenal:material:0, Fluxed Electrum Blend
redstonearsenal:material:32, Fluxed Electrum Ingot
redstonearsenal:material:64, Fluxed Electrum Nugget
redstonearsenal:material:96, Fluxed Electrum Gear
redstonearsenal:material:128, Fluxed Electrum Plate
redstonearsenal:material:160, Flux Crystal
redstonearsenal:material:192, Obsidian Rod
redstonearsenal:material:193, Flux-Infused Obsidian Rod
redstonearsenal:material:224, Fluxed Armor Plating
redstonearsenal:util.quiver_flux, Flux-Infused Quiver
redstonearsenal:armor.helmet_flux, Flux-Infused Helm
redstonearsenal:armor.plate_flux, Flux-Infused Chestplate
redstonearsenal:armor.legs_flux, Flux-Infused Leggings
redstonearsenal:armor.boots_flux, Flux-Infused Boots
redstonearsenal:tool.wrench_flux, Flux-Infused OmniWrench
redstonearsenal:tool.battlewrench_flux, Flux-Infused BattleWrench
redstonearsenal:tool.sword_flux, Flux-Infused Sword
redstonearsenal:tool.shovel_flux, Flux-Infused Shovel
redstonearsenal:tool.pickaxe_flux, Flux-Infused Pickaxe
redstonearsenal:tool.axe_flux, Flux-Infused Axe
redstonearsenal:tool.bow_flux, Flux-Infused Bow
redstonearsenal:tool.fishing_rod_flux, Flux-Infused Fishing Rod
redstonearsenal:tool.sickle_flux, Flux-Infused Sickle
redstonearsenal:tool.hammer_flux, Flux-Infused Hammer
redstonearsenal:tool.excavator_flux, Flux-Infused Excavator
redstonearsenal:tool.shield_flux, Flux-Infused Shield
thermaldynamics:duct_0:0, Leadstone Fluxduct
thermaldynamics:duct_0:1, Hardened Fluxduct
thermaldynamics:duct_0:2, Redstone Energy Fluxduct
thermaldynamics:duct_0:3, Signalum Fluxduct
thermaldynamics:duct_0:4, Resonant Fluxduct
thermaldynamics:duct_0:5, Cryo-Stabilized Fluxduct
thermaldynamics:duct_0:6, Redstone Energy Fluxduct (Empty)
thermaldynamics:duct_0:7, Signalum Fluxduct (Empty)
thermaldynamics:duct_0:8, Resonant Fluxduct (Empty)
thermaldynamics:duct_0:9, Cryo-Stabilized Fluxduct (Empty)
thermaldynamics:duct_16:0, Fluiduct
thermaldynamics:duct_16:1, Fluiduct (Opaque)
thermaldynamics:duct_16:2, Hardened Fluiduct
thermaldynamics:duct_16:3, Hardened Fluiduct (Opaque)
thermaldynamics:duct_16:4, Signalum-Plated Fluiduct
thermaldynamics:duct_16:5, Signalum-Plated Fluiduct (Opaque)
thermaldynamics:duct_16:6, Super-Laminar Fluiduct
thermaldynamics:duct_16:7, Super-Laminar Fluiduct (Opaque)
thermaldynamics:duct_32:0, Vacuum Itemduct
thermaldynamics:duct_32:0, Dense Itemduct
thermaldynamics:duct_32:0, Itemduct
thermaldynamics:duct_32:1, Vacuum Itemduct (Opaque)
thermaldynamics:duct_32:1, Dense Itemduct (Opaque)
thermaldynamics:duct_32:1, Itemduct (Opaque)
thermaldynamics:duct_32:2, Vacuum Impulse Itemduct
thermaldynamics:duct_32:2, Dense Impulse Itemduct
thermaldynamics:duct_32:2, Impulse Itemduct
thermaldynamics:duct_32:3, Vacuum Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Dense Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Impulse Itemduct (Opaque)
thermaldynamics:duct_32:4, Vacuum Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Dense Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Signalum-Plated Itemduct
thermaldynamics:duct_32:5, Vacuum Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Dense Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:6, Vacuum Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Dense Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:7, Vacuum Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Dense Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_48:0, Structuralduct
thermaldynamics:duct_64:0, Viaduct
thermaldynamics:duct_64:1, Long Range Viaduct
thermaldynamics:duct_64:2, Long Range Linking Viaduct
thermaldynamics:duct_64:3, Viaduct (Untreated)
thermaldynamics:servo:0, Servo
thermaldynamics:servo:1, Hardened Servo
thermaldynamics:servo:2, Reinforced Servo
thermaldynamics:servo:3, Signalum Servo
thermaldynamics:servo:4, Resonant Servo
thermaldynamics:filter:0, Filter
thermaldynamics:filter:1, Hardened Filter
thermaldynamics:filter:2, Reinforced Filter
thermaldynamics:filter:3, Signalum Filter
thermaldynamics:filter:4, Resonant Filter
thermaldynamics:retriever:0, Retriever
thermaldynamics:retriever:1, Hardened Retriever
thermaldynamics:retriever:2, Reinforced Retriever
thermaldynamics:retriever:3, Signalum Retriever
thermaldynamics:retriever:4, Resonant Retriever
thermaldynamics:relay:0, Redstone Relay
thermaldynamics:cover:0, Stone Cover
thermaldynamics:cover:0, Granite Cover
thermaldynamics:cover:0, Polished Granite Cover
thermaldynamics:cover:0, Diorite Cover
thermaldynamics:cover:0, Polished Diorite Cover
thermaldynamics:cover:0, Andesite Cover
thermaldynamics:cover:0, Polished Andesite Cover
thermaldynamics:cover:0, Grass Block Cover
thermaldynamics:cover:0, Dirt Cover
thermaldynamics:cover:0, Coarse Dirt Cover
thermaldynamics:cover:0, Podzol Cover
thermaldynamics:cover:0, Cobblestone Cover
thermaldynamics:cover:0, Oak Wood Planks Cover
thermaldynamics:cover:0, Spruce Wood Planks Cover
thermaldynamics:cover:0, Birch Wood Planks Cover
thermaldynamics:cover:0, Jungle Wood Planks Cover
thermaldynamics:cover:0, Acacia Wood Planks Cover
thermaldynamics:cover:0, Dark Oak Wood Planks Cover
thermaldynamics:cover:0, Bedrock Cover
thermaldynamics:cover:0, Sand Cover
thermaldynamics:cover:0, Red Sand Cover
thermaldynamics:cover:0, Gravel Cover
thermaldynamics:cover:0, Gold Ore Cover
thermaldynamics:cover:0, Iron Ore Cover
thermaldynamics:cover:0, Coal Ore Cover
thermaldynamics:cover:0, Oak Wood Cover
thermaldynamics:cover:0, Spruce Wood Cover
thermaldynamics:cover:0, Birch Wood Cover
thermaldynamics:cover:0, Jungle Wood Cover
thermaldynamics:cover:0, Oak Leaves Cover
thermaldynamics:cover:0, Spruce Leaves Cover
thermaldynamics:cover:0, Birch Leaves Cover
thermaldynamics:cover:0, Jungle Leaves Cover
thermaldynamics:cover:0, Sponge Cover
thermaldynamics:cover:0, Wet Sponge Cover
thermaldynamics:cover:0, Glass Cover
thermaldynamics:cover:0, Lapis Lazuli Ore Cover
thermaldynamics:cover:0, Lapis Lazuli Block Cover
thermaldynamics:cover:0, Sandstone Cover
thermaldynamics:cover:0, Chiseled Sandstone Cover
thermaldynamics:cover:0, Smooth Sandstone Cover
thermaldynamics:cover:0, White Wool Cover
thermaldynamics:cover:0, Orange Wool Cover
thermaldynamics:cover:0, Magenta Wool Cover
thermaldynamics:cover:0, Light Blue Wool Cover
thermaldynamics:cover:0, Yellow Wool Cover
thermaldynamics:cover:0, Lime Wool Cover
thermaldynamics:cover:0, Pink Wool Cover
thermaldynamics:cover:0, Gray Wool Cover
thermaldynamics:cover:0, Light Gray Wool Cover
thermaldynamics:cover:0, Cyan Wool Cover
thermaldynamics:cover:0, Purple Wool Cover
thermaldynamics:cover:0, Blue Wool Cover
thermaldynamics:cover:0, Brown Wool Cover
thermaldynamics:cover:0, Green Wool Cover
thermaldynamics:cover:0, Red Wool Cover
thermaldynamics:cover:0, Black Wool Cover
thermaldynamics:cover:0, Block of Gold Cover
thermaldynamics:cover:0, Block of Iron Cover
thermaldynamics:cover:0, Stone Slab Cover
thermaldynamics:cover:0, Sandstone Slab Cover
thermaldynamics:cover:0, Cobblestone Slab Cover
thermaldynamics:cover:0, Bricks Slab Cover
thermaldynamics:cover:0, Stone Bricks Slab Cover
thermaldynamics:cover:0, Nether Brick Slab Cover
thermaldynamics:cover:0, Quartz Slab Cover
thermaldynamics:cover:0, Bricks Cover
thermaldynamics:cover:0, TNT Cover
thermaldynamics:cover:0, Bookshelf Cover
thermaldynamics:cover:0, Moss Stone Cover
thermaldynamics:cover:0, Obsidian Cover
thermaldynamics:cover:0, Oak Wood Stairs Cover
thermaldynamics:cover:0, Diamond Ore Cover
thermaldynamics:cover:0, Block of Diamond Cover
thermaldynamics:cover:0, Crafting Table Cover
thermaldynamics:cover:0, Cobblestone Stairs Cover
thermaldynamics:cover:0, Redstone Ore Cover
thermaldynamics:cover:0, Ice Cover
thermaldynamics:cover:0, Snow Cover
thermaldynamics:cover:0, Cactus Cover
thermaldynamics:cover:0, Clay Cover
thermaldynamics:cover:0, Pumpkin Cover
thermaldynamics:cover:0, Netherrack Cover
thermaldynamics:cover:0, Soul Sand Cover
thermaldynamics:cover:0, Glowstone Cover
thermaldynamics:cover:0, Jack o'Lantern Cover
thermaldynamics:cover:0, White Stained Glass Cover
thermaldynamics:cover:0, Orange Stained Glass Cover
thermaldynamics:cover:0, Magenta Stained Glass Cover
thermaldynamics:cover:0, Light Blue Stained Glass Cover
thermaldynamics:cover:0, Yellow Stained Glass Cover
thermaldynamics:cover:0, Lime Stained Glass Cover
thermaldynamics:cover:0, Pink Stained Glass Cover
thermaldynamics:cover:0, Gray Stained Glass Cover
thermaldynamics:cover:0, Light Gray Stained Glass Cover
thermaldynamics:cover:0, Cyan Stained Glass Cover
thermaldynamics:cover:0, Purple Stained Glass Cover
thermaldynamics:cover:0, Blue Stained Glass Cover
thermaldynamics:cover:0, Brown Stained Glass Cover
thermaldynamics:cover:0, Green Stained Glass Cover
thermaldynamics:cover:0, Red Stained Glass Cover
thermaldynamics:cover:0, Black Stained Glass Cover
thermaldynamics:cover:0, Stone Monster Egg Cover
thermaldynamics:cover:0, Cobblestone Monster Egg Cover
thermaldynamics:cover:0, Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Mossy Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Cracked Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Chiseled Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Stone Bricks Cover
thermaldynamics:cover:0, Mossy Stone Bricks Cover
thermaldynamics:cover:0, Cracked Stone Bricks Cover
thermaldynamics:cover:0, Chiseled Stone Bricks Cover
thermaldynamics:cover:0, Iron Bars Cover
thermaldynamics:cover:0, Glass Pane Cover
thermaldynamics:cover:0, Melon Cover
thermaldynamics:cover:0, Brick Stairs Cover
thermaldynamics:cover:0, Stone Brick Stairs Cover
thermaldynamics:cover:0, Mycelium Cover
thermaldynamics:cover:0, Nether Brick Cover
thermaldynamics:cover:0, Nether Brick Stairs Cover
thermaldynamics:cover:0, End Portal Cover
thermaldynamics:cover:0, End Stone Cover
thermaldynamics:cover:0, Redstone Lamp Cover
thermaldynamics:cover:0, Oak Wood Slab Cover
thermaldynamics:cover:0, Spruce Wood Slab Cover
thermaldynamics:cover:0, Birch Wood Slab Cover
thermaldynamics:cover:0, Jungle Wood Slab Cover
thermaldynamics:cover:0, Acacia Wood Slab Cover
thermaldynamics:cover:0, Dark Oak Wood Slab Cover
thermaldynamics:cover:0, Sandstone Stairs Cover
thermaldynamics:cover:0, Emerald Ore Cover
thermaldynamics:cover:0, Tripwire Hook Cover
thermaldynamics:cover:0, Block of Emerald Cover
thermaldynamics:cover:0, Spruce Wood Stairs Cover
thermaldynamics:cover:0, Birch Wood Stairs Cover
thermaldynamics:cover:0, Jungle Wood Stairs Cover
thermaldynamics:cover:0, Block of Redstone Cover
thermaldynamics:cover:0, Nether Quartz Ore Cover
thermaldynamics:cover:0, Block of Quartz Cover
thermaldynamics:cover:0, Chiseled Quartz Block Cover
thermaldynamics:cover:0, Pillar Quartz Block Cover
thermaldynamics:cover:0, Quartz Stairs Cover
thermaldynamics:cover:0, White Terracotta Cover
thermaldynamics:cover:0, Orange Terracotta Cover
thermaldynamics:cover:0, Magenta Terracotta Cover
thermaldynamics:cover:0, Light Blue Terracotta Cover
thermaldynamics:cover:0, Yellow Terracotta Cover
thermaldynamics:cover:0, Lime Terracotta Cover
thermaldynamics:cover:0, Pink Terracotta Cover
thermaldynamics:cover:0, Gray Terracotta Cover
thermaldynamics:cover:0, Light Gray Terracotta Cover
thermaldynamics:cover:0, Cyan Terracotta Cover
thermaldynamics:cover:0, Purple Terracotta Cover
thermaldynamics:cover:0, Blue Terracotta Cover
thermaldynamics:cover:0, Brown Terracotta Cover
thermaldynamics:cover:0, Green Terracotta Cover
thermaldynamics:cover:0, Red Terracotta Cover
thermaldynamics:cover:0, Black Terracotta Cover
